Sigla,Clientes,Churn,Arrecadação,Minutos,Chamadas,Estado,Rotatividade
AK,72,5,58.46,578.39,303.74,Alaska,6.94
AL,124,13,60.42,586.72,300.88,Alabama,10.48
AR,92,16,58.57,588.3,306.09,Arkansas,17.39
AZ,89,9,58.12,574.55,307.64,Arizona,10.11
CA,52,14,57.63,577.31,305.67,California,26.92
CO,96,11,58.49,579.31,299.6,Colorado,11.46
CT,99,16,58.85,589.43,304.62,Connecticut,16.16
DC,88,9,58.46,591.59,309.81,District of Columbia,10.23
DE,94,15,60.89,606.65,299.2,Delaware,15.96
FL,90,12,59.62,596.12,314.67,Florida,13.33
GA,83,10,59.26,591.71,312.96,Georgia,12.05
HI,86,5,58.79,587.37,309.41,Hawaii,5.81
IA,69,8,58.75,587.55,305.49,Iowa,11.59
ID,119,14,59.53,589.27,313.97,Idaho,11.76
IL,88,7,57.57,576.19,300.64,Illinois,7.95
IN,98,14,61.21,607.21,312.18,Indiana,14.29
KS,99,18,62.3,612.18,308.37,Kansas,18.18
KY,99,15,59.37,588.72,304.37,Kentucky,15.15
LA,82,7,57.78,578.01,308.63,Louisiana,8.54
MA,103,17,60.59,600.76,298.58,Massachusetts,16.5
MD,102,21,61.02,597.74,300.6,Maryland,20.59
ME,103,19,60.39,597.61,311.2,Maine,18.45
MI,103,18,58.95,584.48,307.65,Michigan,17.48
MN,125,20,59.7,594.37,307.95,Minnesota,16.0
MO,93,12,58.18,592.98,306.39,Missouri,12.9
MS,99,17,59.0,590.35,307.64,Mississippi,17.17
MT,99,21,59.3,589.01,301.77,Montana,21.21
NC,91,12,59.43,589.12,309.0,North Carolina,13.19
ND,88,10,60.18,596.58,315.73,North Dakota,11.36
NE,88,6,58.32,584.61,305.75,Nebraska,6.82
NH,95,12,59.27,595.59,301.35,New Hampshire,12.63
NJ,112,28,61.43,603.51,309.67,New Jersey,25.0
NM,91,10,58.97,589.87,309.88,New Mexico,10.99
NV,90,17,60.09,599.36,306.07,Nevada,18.89
NY,114,20,58.75,587.08,304.08,New York,17.54
OH,116,15,60.52,599.98,310.71,Ohio,12.93
OK,90,16,60.28,592.7,309.62,Oklahoma,17.78
OR,114,18,59.47,593.52,302.68,Oregon,15.79
PA,77,8,60.25,594.06,307.44,Pennsylvania,10.39
RI,99,7,59.32,598.96,298.44,Rhode Island,7.07
SC,91,16,58.45,585.8,310.21,South Carolina,17.58
SD,85,12,60.25,595.92,297.62,South Dakota,14.12
TN,89,14,59.61,598.13,304.0,Tennessee,15.73
TX,116,26,60.22,594.59,309.32,Texas,22.41
UT,112,16,60.26,588.3,305.19,Utah,14.29
VA,118,6,59.57,596.04,301.53,Virginia,5.08
VT,101,10,60.46,605.71,307.03,Vermont,9.9
WA,98,24,59.73,592.24,305.42,Washington,24.49
WI,106,8,58.02,576.69,303.71,Wisconsin,7.55
WV,158,22,58.18,578.32,304.6,West Virginia,13.92
WY,115,11,59.65,590.42,307.08,Wyoming,9.57
