state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,recharge_total,minutes_total,calls_total,rechargesPerMinute,cluster,prob
KS,128,area_code_415,0,1,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0,75.56,717.2,304,0.10535415504740658,0,0.00010414081
OH,107,area_code_415,0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,59.24000000000001,625.2,333,0.09475367882277672,0,6.617313e-05
NJ,137,area_code_415,0,0,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,62.290000000000006,539.4000000000001,333,0.11548016314423433,1,0.00039043225
OH,84,area_code_408,1,0,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,66.8,564.8,257,0.11827195467422097,1,0.00021899684
OK,75,area_code_415,1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,52.089999999999996,512.0,362,0.10173828124999999,2,0.0017818334
AL,118,area_code_510,1,0,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,67.61,654.1999999999999,323,0.10334760012228678,1,0.0011336581
MA,121,area_code_510,0,1,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,78.31,786.8000000000001,324,0.09952974072191154,0,0.0021884348
MO,147,area_code_415,1,0,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,46.900000000000006,479.00000000000006,275,0.09791231732776617,2,0.00086278823
LA,117,area_code_408,0,0,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,0,73.32,760.6000000000001,272,0.09639758085721796,1,0.004323212
WV,141,area_code_415,1,1,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,80.53999999999999,818.2,297,0.0984355903202151,0,0.010978759
IN,65,area_code_415,0,0,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,1,54.2,579.1000000000001,341,0.0935935071662925,3,0.9982969
RI,74,area_code_415,0,0,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,57.08,556.2,374,0.1026249550521395,1,4.5740562e-05
IA,168,area_code_408,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,40.190000000000005,386.0,298,0.10411917098445597,2,0.0001903997
MT,95,area_code_510,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,59.64,608.8,286,0.09796320630749016,1,0.00092366984
