state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,recharge_total,minutes_total,calls_total,rechargesPerMinute
KS,128,area_code_415,0,1,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0,75.56,717.2,304,0.10535415504740658
OH,107,area_code_415,0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,59.24000000000001,625.2,333,0.09475367882277672
NJ,137,area_code_415,0,0,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,62.290000000000006,539.4000000000001,333,0.11548016314423433
OH,84,area_code_408,1,0,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,66.8,564.8,257,0.11827195467422097
OK,75,area_code_415,1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,52.089999999999996,512.0,362,0.10173828124999999
AL,118,area_code_510,1,0,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,67.61,654.1999999999999,323,0.10334760012228678
MA,121,area_code_510,0,1,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,78.31,786.8000000000001,324,0.09952974072191154
MO,147,area_code_415,1,0,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,46.900000000000006,479.00000000000006,275,0.09791231732776617
LA,117,area_code_408,0,0,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,0,73.32,760.6000000000001,272,0.09639758085721796
WV,141,area_code_415,1,1,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,80.53999999999999,818.2,297,0.0984355903202151
IN,65,area_code_415,0,0,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,1,54.2,579.1000000000001,341,0.0935935071662925
RI,74,area_code_415,0,0,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,57.08,556.2,374,0.1026249550521395
IA,168,area_code_408,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,40.190000000000005,386.0,298,0.10411917098445597
MT,95,area_code_510,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,59.64,608.8,286,0.09796320630749016
IA,62,area_code_415,0,0,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,59.309999999999995,644.0,255,0.09209627329192546
NY,161,area_code_415,0,0,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,1,92.29,816.7,305,0.11300355087547446
ID,85,area_code_408,0,1,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,65.02,580.3999999999999,309,0.11202618883528603
VT,93,area_code_510,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,58.989999999999995,546.6,352,0.10792169776802048
VA,76,area_code_510,0,1,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0,60.50000000000001,578.2,245,0.10463507436873054
TX,73,area_code_415,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,0,63.9,589.7,255,0.1083601831439715
FL,147,area_code_415,0,0,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0,59.0,614.1999999999999,347,0.09605991533702378
CO,77,area_code_408,0,0,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1,36.019999999999996,447.59999999999997,285,0.08047363717605004
AZ,130,area_code_415,0,0,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0,48.06,447.20000000000005,308,0.10746869409660106
SC,111,area_code_415,0,0,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,0,41.05,445.0,318,0.09224719101123595
VA,132,area_code_510,0,0,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,0,48.08,573.5999999999999,275,0.08382147838214785
NE,174,area_code_415,0,0,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0,60.15,667.6,311,0.09009886159376872
WY,57,area_code_408,0,1,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0,63.24,596.3,345,0.10605399966459837
MT,54,area_code_408,0,0,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0,44.61,406.59999999999997,248,0.10971470732907035
MO,20,area_code_415,0,0,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,64.12,636.0,301,0.1008176100628931
HI,49,area_code_510,0,0,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,0,49.6,524.1999999999999,318,0.09462037390309044
IL,142,area_code_415,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,41.14,486.2,314,0.08461538461538462
NH,75,area_code_510,0,0,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,69.42999999999999,684.0999999999999,316,0.1014910100862447
LA,172,area_code_408,0,0,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,55.29,549.1,327,0.10069204152249134
AZ,12,area_code_408,0,0,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,79.67999999999999,794.0,331,0.10035264483627203
OK,57,area_code_408,0,1,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,58.49,593.5999999999999,289,0.09853436657681942
GA,72,area_code_415,0,1,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,66.72,604.8000000000001,262,0.1103174603174603
AK,36,area_code_408,0,1,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,0,48.42,452.6,323,0.1069818824569156
MA,78,area_code_415,0,0,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,0,54.2,592.3,294,0.091507681917947
AK,136,area_code_415,1,1,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,58.03,503.7,321,0.1152074647607703
NJ,149,area_code_408,0,0,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,0,58.44,611.6,304,0.09555264879005886
GA,98,area_code_408,0,0,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,46.63999999999999,490.3,327,0.09512543340811747
MD,135,area_code_408,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,56.199999999999996,513.8,285,0.10938108213312574
AR,34,area_code_510,0,0,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,0,61.92999999999999,728.5,264,0.08501029512697322
ID,160,area_code_415,0,0,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,39.15,438.8,286,0.08922060164083864
WI,64,area_code_510,0,0,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,58.260000000000005,648.6,275,0.08982423681776133
OR,59,area_code_408,0,1,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,48.3,505.5,312,0.09554896142433233
MI,65,area_code_415,0,0,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,0,59.36000000000001,521.8,368,0.11376006132617864
DE,142,area_code_408,0,0,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,0,56.129999999999995,571.1999999999999,341,0.09826680672268907
ID,119,area_code_415,0,0,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,1,55.53,542.3999999999999,330,0.10237831858407083
WY,97,area_code_415,0,1,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,0,47.25,432.0,276,0.109375
IA,52,area_code_408,0,0,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,68.32,706.3,299,0.09672943508424182
IN,60,area_code_408,0,0,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0,68.49000000000001,687.5,305,0.0996218181818182
VA,10,area_code_408,0,0,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0,63.620000000000005,670.4999999999999,243,0.09488441461595826
UT,96,area_code_415,0,0,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,62.76,665.5,259,0.09430503380916604
WY,87,area_code_415,0,0,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,56.14,584.3000000000001,334,0.09608078042101659
IN,81,area_code_408,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,65.94,705.2,254,0.09350538854225751
CO,141,area_code_415,0,0,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,0,45.370000000000005,455.7,291,0.09956111476848806
CO,121,area_code_408,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,49.849999999999994,460.7,289,0.10820490557846754
WI,68,area_code_415,0,0,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,0,55.36000000000001,537.2,343,0.10305286671630678
OK,125,area_code_408,0,0,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,0,65.82,608.0,333,0.10825657894736841
ID,174,area_code_408,0,0,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,57.67999999999999,540.0,250,0.1068148148148148
CA,116,area_code_415,0,1,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0,71.41999999999999,624.7,336,0.11432687690091241
MN,74,area_code_510,0,1,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,0,64.0,592.4,284,0.10803511141120865
SD,149,area_code_408,0,1,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0,62.029999999999994,646.6,215,0.09593257036807917
NC,38,area_code_408,0,0,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,0,45.51,461.3,309,0.09865597225233036
WA,40,area_code_415,0,1,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0,50.89000000000001,537.9000000000001,271,0.09460866332031977
WY,43,area_code_415,1,0,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0,70.46,631.4,280,0.11159328476401646
MN,113,area_code_408,1,0,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0,46.88,469.20000000000005,359,0.0999147485080989
UT,126,area_code_408,0,0,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0,63.42999999999999,589.8,212,0.10754493048491014
TX,150,area_code_510,0,0,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1,55.199999999999996,510.40000000000003,318,0.10815047021943572
NJ,138,area_code_408,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0,72.08,719.4,290,0.10019460661662496
MN,162,area_code_510,0,1,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,0,68.96,679.8000000000001,244,0.10144160047072666
NM,147,area_code_510,0,0,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,0,64.84,578.0,284,0.11217993079584776
NV,90,area_code_415,0,0,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0,62.67999999999999,589.8,373,0.10627331298745336
HI,85,area_code_415,0,0,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,0,65.16,593.2,305,0.10984490896830747
MN,50,area_code_415,0,0,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0,55.49999999999999,567.9,276,0.09772847332276809
DC,82,area_code_415,0,0,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1,81.75,763.1000000000001,286,0.10712881666885073
NY,144,area_code_408,0,0,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,1,27.02,319.9,312,0.08446389496717725
MN,46,area_code_415,0,0,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,0,60.57,564.2,294,0.10735554767812831
MD,70,area_code_408,0,0,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,0,56.459999999999994,569.0,279,0.09922671353251317
WV,144,area_code_415,0,0,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,0,73.63,741.8000000000001,295,0.09925856025882986
OR,116,area_code_415,1,0,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0,69.96000000000001,711.3000000000001,300,0.09835512442007592
CO,55,area_code_408,0,1,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,0,50.599999999999994,488.4,313,0.1036036036036036
GA,70,area_code_415,0,1,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0,77.16000000000001,741.6999999999999,272,0.10403127949305652
TX,106,area_code_510,0,0,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1,68.94,663.5999999999999,272,0.10388788426763111
VT,128,area_code_510,0,1,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,0,66.53999999999999,736.8000000000001,275,0.09030944625407164
IN,94,area_code_408,0,0,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,1,50.709999999999994,510.5,299,0.09933398628795298
WV,111,area_code_510,0,0,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,0,65.6,617.2,295,0.10628645495787425
KY,74,area_code_415,0,1,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0,48.72,490.5,256,0.09932721712538226
NJ,128,area_code_415,0,0,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,1,74.64,708.3,291,0.10537907666243118
DC,82,area_code_510,0,0,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,0,48.96,459.5,263,0.106550598476605
LA,155,area_code_415,0,0,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,1,62.03,599.1999999999999,327,0.10352136181575436
AR,80,area_code_415,0,0,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0,49.36000000000001,558.4,279,0.08839541547277939
ME,78,area_code_415,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0,72.6,704.7,320,0.10302256279267773
AZ,90,area_code_415,0,0,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0,55.26,508.0,253,0.10877952755905511
AK,104,area_code_408,0,0,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0,64.21000000000001,532.3999999999999,362,0.12060480841472582
MT,73,area_code_415,0,0,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,0,56.68999999999999,560.5,258,0.10114183764495983
AZ,99,area_code_415,0,0,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0,62.25000000000001,605.1,283,0.1028755577590481
MS,120,area_code_408,0,0,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,1,62.809999999999995,594.0,337,0.10574074074074073
ID,77,area_code_415,0,0,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,1,75.32000000000001,742.5,316,0.10144107744107746
IA,98,area_code_510,0,1,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,0,57.24,577.9999999999999,301,0.09903114186851214
